"","Tm","W","Yr"
"192","UTA",0.6,1992
"193","POR",0.6,1991
"194","PHO",0.6,1990
"195","CHI",0.6,1989
"196","BOS",0.6,1988
"197","PHO",0.6,1984
"198","BOS",0.583333333333333,1982
"199","KCK",0.583333333333333,1981
"200","SEA",0.583333333333333,1980
"201","SAS",0.583333333333333,1979
"202","GSW",0.583333333333333,1976
"203","CHI",0.583333333333333,1975
"204","BOS",0.583333333333333,1973
"205","NYK",0.583333333333333,1971
"206","PHI",0.583333333333333,1968
"207","FTW",0.571428571428571,1956
"208","STL",0.571428571428571,1956
"209","BOS",0.5625,2017
"210","HOU",0.5625,2015
"211","CHI",0.5625,2011
"212","OKC",0.5625,2011
"213","SAS",0.5625,2008
"214","UTA",0.5625,2007
"215","PHO",0.5625,2005
"216","STL",0.545454545454545,1966
"217","SYR",0.545454545454545,1950
"218","MIA",0.533333333333333,1997
"219","UTA",0.533333333333333,1994
"220","LAL",0.533333333333333,1986
"221","DEN",0.533333333333333,1985
"222","PHI",0.533333333333333,1985
"223","MIL",0.533333333333333,1984
"224","POR",0.5,2019
"225","SAS",0.5,2017
"226","ATL",0.5,2015
"227","MEM",0.5,2013
"228","DET",0.5,2003
"229","SAS",0.5,1983
"230","CLE",0.5,1976
"231","BOS",0.5,1975
"232","MIL",0.5,1972
"233","NYK",0.5,1969
"234","CIN",0.5,1964
"235","SYR",0.5,1961
"236","PHW",0.5,1960
"237","SAS",0.466666666666667,2001
"238","POR",0.466666666666667,1999
"239","LAL",0.466666666666667,1998
"240","ORL",0.466666666666667,1996
"241","DET",0.466666666666667,1991
"242","PHO",0.466666666666667,1989
"243","SEA",0.466666666666667,1987
"244","MIL",0.466666666666667,1986
"245","STL",0.454545454545455,1967
"246","FTW",0.444444444444444,1953
"247","SYR",0.444444444444444,1951
"248","DEN",0.4375,2019
"249","PHI",0.4375,2019
"250","WAS",0.4375,2017
"251","MIA",0.4375,2016
"252","LAC",0.4375,2015
"253","PHI",0.4375,2012
"254","MEM",0.4375,2011
"255","BOS",0.4375,2009
"256","HOU",0.4375,2009
"257","CLE",0.4375,2008
"258","NOH",0.4375,2008
"259","CLE",0.4375,2006
"260","LAC",0.4375,2006
"261","SAS",0.4375,2006
"262","NJN",0.4375,2004
"263","SAC",0.4375,2004
"264","SAC",0.4375,2003
"265","DEN",0.428571428571429,1978
"266","PHI",0.428571428571429,1978
"267","HOU",0.428571428571429,1977
"268","BOS",0.428571428571429,1955
"269","MNL",0.428571428571429,1955
"270","MIL",0.416666666666667,1983
"271","BOS",0.416666666666667,1980
"272","ATL",0.416666666666667,1979
"273","PHI",0.416666666666667,1979
"274","NYK",0.416666666666667,1974
"275","GSW",0.416666666666667,1973
"276","BOS",0.416666666666667,1972
"277","LAL",0.416666666666667,1971
"278","MIL",0.416666666666667,1970
"279","ATL",0.416666666666667,1969
"280","CHO",0.4,2001
"281","TOR",0.4,2001
"282","MIA",0.4,2000
"283","NYK",0.4,1997
"284","SEA",0.4,1997
"285","NYK",0.4,1995
"286","PHO",0.4,1995
"287","CHI",0.4,1994
"288","DEN",0.4,1994
"289","PHO",0.4,1994
"290","HOU",0.4,1993
"291","BOS",0.4,1992
"292","NYK",0.4,1992
"293","SAS",0.4,1990
"294","ATL",0.4,1988
"295","UTA",0.4,1988
"296","MIL",0.4,1987
"297","PHI",0.4,1986
"298","NYK",0.4,1984
"299","HOU",0.375,2019
"300","HOU",0.375,2017
"301","SAS",0.375,2016
"302","CHI",0.375,2015
"303","MEM",0.375,2015
"304","WAS",0.375,2015
"305","LAC",0.375,2014
"306","WAS",0.375,2014
"307","GSW",0.375,2013
"308","NYK",0.375,2013
"309","IND",0.375,2012
"310","ATL",0.375,2011
"311","CLE",0.375,2010
"312","UTA",0.375,2008
"313","CHI",0.375,2007
"314","NJN",0.375,2007
"315","PHO",0.375,2007
"316","DAL",0.375,2005
"317","IND",0.375,2005
"318","SEA",0.375,2005
"319","MIA",0.375,2004
"320","SAS",0.375,2004
"321","LAL",0.375,2003
"322","PHI",0.375,2003
"323","DET",0.375,1958
"324","PHW",0.375,1958
"325","BOS",0.363636363636364,1967
"326","AND",0.363636363636364,1950
"327","MIL",0.357142857142857,1978
"328","BOS",0.357142857142857,1977
"329","GSW",0.357142857142857,1977
"330","PHI",0.333333333333333,2000
"331","UTA",0.333333333333333,1999
"332","SAS",0.333333333333333,1996
"333","CHI",0.333333333333333,1995
"334","LAL",0.333333333333333,1995
"335","ATL",0.333333333333333,1994
"336","SAS",0.333333333333333,1993
"337","BOS",0.333333333333333,1991
"338","NYK",0.333333333333333,1989
"339","DEN",0.333333333333333,1988
"340","HOU",0.333333333333333,1987
"341","DAL",0.333333333333333,1986
"342","DEN",0.333333333333333,1986
"343","DET",0.333333333333333,1985
"344","NJN",0.333333333333333,1984
"345","UTA",0.333333333333333,1984
"346","SAS",0.333333333333333,1982
"347","BUF",0.333333333333333,1976
"348","DET",0.333333333333333,1976
"349","SEA",0.333333333333333,1975
"350","CHI",0.333333333333333,1974
"351","ATL",0.333333333333333,1970
"352","SFW",0.333333333333333,1968
"353","ROC",0.333333333333333,1954
"354","BOS",0.333333333333333,1953
"355","ROC",0.333333333333333,1952
"356","SYR",0.333333333333333,1952
"357","MNL",0.333333333333333,1951
"358","BOS",0.3125,2019
"359","NOP",0.3125,2018
"360","PHI",0.3125,2018
"361","UTA",0.3125,2018
"362","POR",0.3125,2016
"363","BRK",0.3125,2014
"364","POR",0.3125,2014
"365","CHI",0.3125,2013
"366","OKC",0.3125,2013
"367","LAL",0.3125,2012
"368","BOS",0.3125,2011
"369","DAL",0.3125,2009
"370","ORL",0.3125,2008
"371","GSW",0.3125,2007
"372","NJN",0.3125,2006
"373","LAL",0.285714285714286,1977
"374","WSB",0.285714285714286,1977
"375","MNL",0.285714285714286,1956
"376","FTW",0.272727272727273,1950
"377","INO",0.272727272727273,1950
"378","NYK",0.272727272727273,1950
"379","CHO",0.266666666666667,2002
"380","DAL",0.266666666666667,2002
"381","DET",0.266666666666667,2002
"382","SAS",0.266666666666667,2002
"383","DAL",0.266666666666667,2001
"384","PHO",0.266666666666667,2000
"385","UTA",0.266666666666667,2000
"386","CHO",0.266666666666667,1998
"387","NYK",0.266666666666667,1998
"388","SAS",0.266666666666667,1998
"389","SEA",0.266666666666667,1998
"390","ATL",0.266666666666667,1997
"391","LAL",0.266666666666667,1997
"392","ATL",0.266666666666667,1996
"393","NYK",0.266666666666667,1996
"394","CHO",0.266666666666667,1993
"395","PHO",0.266666666666667,1992
"396","SEA",0.266666666666667,1992
"397","GSW",0.266666666666667,1991
"398","PHI",0.266666666666667,1991
"399","UTA",0.266666666666667,1991
"400","LAL",0.266666666666667,1990
"401","NYK",0.266666666666667,1990
"402","PHI",0.266666666666667,1990
"403","GSW",0.266666666666667,1989
"404","CHI",0.266666666666667,1988
"405","ATL",0.266666666666667,1987
"406","GSW",0.266666666666667,1987
"407","ATL",0.266666666666667,1986
"408","POR",0.266666666666667,1985
"409","UTA",0.266666666666667,1985
"410","DAL",0.266666666666667,1984
"411","TOR",0.25,2018
"412","TOR",0.25,2017
"413","UTA",0.25,2017
"414","ATL",0.25,2016
"415","LAC",0.25,2012
"416","LAL",0.25,2011
"417","ATL",0.25,2010
"418","SAS",0.25,2010
"419","UTA",0.25,2010
"420","ATL",0.25,2009
"421","WAS",0.25,2005
"422","BOS",0.25,2003
"423","DEN",0.25,1983
"424","POR",0.25,1983
"425","SEA",0.25,1982
"426","WSB",0.25,1982
"427","MIL",0.25,1981
"428","PHO",0.25,1981
"429","SAS",0.25,1981
"430","MIL",0.25,1980
"431","PHO",0.25,1980
"432","LAL",0.25,1979
"433","WSB",0.25,1976
"434","BUF",0.25,1975
"435","HOU",0.25,1975
"436","CAP",0.25,1974
"437","DET",0.25,1974
"438","CHI",0.25,1973
"439","CHI",0.25,1971
"440","PHI",0.25,1971
"441","BLB",0.25,1970
"442","PHO",0.25,1970
"443","LAL",0.25,1964
"444","PHI",0.25,1964
"445","SYR",0.25,1963
"446","SYR",0.25,1962
"447","DET",0.25,1961
"448","STL",0.25,1959
"449","MNL",0.25,1957
"450","SYR",0.25,1957
"451","BOS",0.222222222222222,1954
"452","SAC",0.2,2001
"453","ATL",0.2,1999
"454","LAL",0.2,1999
"455","PHI",0.2,1999
"456","HOU",0.2,1996
"457","CLE",0.2,1993
"458","MIL",0.2,1989
"459","SEA",0.2,1989
"460","MIL",0.2,1985
"461","SAS",0.1875,2019
"462","IND",0.1875,2018
"463","MIL",0.1875,2018
"464","LAC",0.1875,2017
"465","CHO",0.1875,2016
"466","IND",0.1875,2016
"467","SAS",0.1875,2015
"468","ATL",0.1875,2014
"469","DAL",0.1875,2014
"470","GSW",0.1875,2014
"471","MEM",0.1875,2014
"472","TOR",0.1875,2014
"473","BRK",0.1875,2013
"474","DEN",0.1875,2012
"475","MEM",0.1875,2012
"476","MIL",0.1875,2010
"477","CHI",0.1875,2009
"478","MIA",0.1875,2009
"479","ATL",0.1875,2008
"480","HOU",0.1875,2007
"481","LAL",0.1875,2006
"482","BOS",0.1875,2005
"483","HOU",0.1875,2005
"484","NOH",0.1875,2004
"485","ORL",0.1875,2003
"486","POR",0.1875,2003
"487","CIN",0.181818181818182,1966
"488","BOS",0.166666666666667,1983
"489","NYK",0.166666666666667,1983
"490","MIL",0.166666666666667,1982
"491","PHO",0.166666666666667,1982
"492","CHI",0.166666666666667,1981
"493","HOU",0.166666666666667,1980
"494","SEA",0.166666666666667,1976
"495","KCO",0.166666666666667,1975
"496","BUF",0.166666666666667,1974
"497","ATL",0.166666666666667,1973
"498","MIL",0.166666666666667,1973
"499","ATL",0.166666666666667,1972
"500","BLB",0.166666666666667,1972
"501","SDR",0.166666666666667,1969
"502","SFW",0.166666666666667,1969
"503","DET",0.166666666666667,1968
"504","NYK",0.166666666666667,1968
"505","STL",0.166666666666667,1968
"506","NYK",0.142857142857143,1978
"507","POR",0.142857142857143,1978
"508","SAS",0.142857142857143,1978
"509","DEN",0.142857142857143,1977
"510","BOS",0.142857142857143,1956
"511","NYK",0.142857142857143,1955
"512","ROC",0.142857142857143,1955
"513","IND",0.133333333333333,2002
"514","PHI",0.133333333333333,2002
"515","SEA",0.133333333333333,2002
"516","TOR",0.133333333333333,2002
"517","NYK",0.133333333333333,2001
"518","UTA",0.133333333333333,2001
"519","MIL",0.133333333333333,2000
"520","SAC",0.133333333333333,2000
"521","SEA",0.133333333333333,2000
"522","DET",0.133333333333333,1999
"523","MIA",0.133333333333333,1999
"524","SAC",0.133333333333333,1999
"525","HOU",0.133333333333333,1998
"526","MIA",0.133333333333333,1998
"527","MIN",0.133333333333333,1998
"528","DET",0.133333333333333,1997
"529","ORL",0.133333333333333,1997
"530","PHO",0.133333333333333,1997
"531","IND",0.133333333333333,1996
"532","POR",0.133333333333333,1996
"533","UTA",0.133333333333333,1995
"534","MIA",0.133333333333333,1994
"535","SEA",0.133333333333333,1994
"536","LAC",0.133333333333333,1993
"537","LAL",0.133333333333333,1993
"538","NJN",0.133333333333333,1993
"539","UTA",0.133333333333333,1993
"540","DET",0.133333333333333,1992
"541","LAC",0.133333333333333,1992
"542","ATL",0.133333333333333,1991
"543","IND",0.133333333333333,1991
"544","SEA",0.133333333333333,1991
"545","BOS",0.133333333333333,1990
"546","CLE",0.133333333333333,1990
"547","UTA",0.133333333333333,1990
"548","ATL",0.133333333333333,1989
"549","CLE",0.133333333333333,1989
"550","CLE",0.133333333333333,1988
"551","MIL",0.133333333333333,1988
"552","SEA",0.133333333333333,1988
"553","WSB",0.133333333333333,1988
"554","PHI",0.133333333333333,1987
"555","UTA",0.133333333333333,1987
"556","WSB",0.133333333333333,1986
"557","HOU",0.133333333333333,1985
"558","SAS",0.133333333333333,1985
"559","ATL",0.133333333333333,1984
"560","DEN",0.133333333333333,1984
"561","DET",0.133333333333333,1984
"562","PHI",0.133333333333333,1984
"563","POR",0.133333333333333,1984
"564","SEA",0.133333333333333,1984
"565","LAC",0.125,2019
"566","OKC",0.125,2018
"567","WAS",0.125,2018
"568","ATL",0.125,2017
"569","CHI",0.125,2017
"570","MEM",0.125,2017
"571","MIL",0.125,2017
"572","BOS",0.125,2016
"573","LAC",0.125,2016
"574","BRK",0.125,2015
"575","MIL",0.125,2015
"576","HOU",0.125,2014
"577","ATL",0.125,2013
"578","BOS",0.125,2013
"579","DEN",0.125,2013
"580","HOU",0.125,2013
"581","LAC",0.125,2013
"582","ATL",0.125,2012
"583","CHI",0.125,2012
"584","NOH",0.125,2011
"585","ORL",0.125,2011
"586","POR",0.125,2011
"587","SAS",0.125,2011
"588","DAL",0.125,2010
"589","DEN",0.125,2010
"590","OKC",0.125,2010
"591","POR",0.125,2010
"592","PHI",0.125,2009
"593","POR",0.125,2009
"594","HOU",0.125,2008
"595","PHI",0.125,2008
"596","WAS",0.125,2008
"597","DAL",0.125,2007
"598","TOR",0.125,2007
"599","CHI",0.125,2006
"600","IND",0.125,2006
"601","SAC",0.125,2006
"602","WAS",0.125,2006
"603","CHI",0.125,2005
"604","IND",0.125,2003
"605","MIL",0.125,2003
"606","MIN",0.125,2003
"607","NOH",0.125,2003
"608","PHO",0.125,2003
"609","CIN",0.125,1965
"610","STL",0.125,1965
"611","DET",0.125,1963
"612","CIN",0.125,1962
"613","SYR",0.125,1960
"614","DET",0.125,1959
"615","SYR",0.125,1958
"616","ROC",0.111111111111111,1953
"617","BOS",0.111111111111111,1952
"618","PHW",0.111111111111111,1952
"619","FTW",0.111111111111111,1951
"620","INO",0.111111111111111,1951
"621","CIN",0.0909090909090909,1967
"622","NYK",0.0909090909090909,1967
"623","PHI",0.0909090909090909,1966
"624","SHE",0.0909090909090909,1950
"625","TRI",0.0909090909090909,1950
"626","ATL",0.0833333333333333,1983
"627","PHO",0.0833333333333333,1983
"628","DEN",0.0833333333333333,1982
"629","HOU",0.0833333333333333,1982
"630","LAL",0.0833333333333333,1981
"631","POR",0.0833333333333333,1981
"632","ATL",0.0833333333333333,1980
"633","KCK",0.0833333333333333,1980
"634","POR",0.0833333333333333,1980
"635","SAS",0.0833333333333333,1980
"636","DEN",0.0833333333333333,1979
"637","KCK",0.0833333333333333,1979
"638","POR",0.0833333333333333,1979
"639","MIL",0.0833333333333333,1976
"640","PHI",0.0833333333333333,1976
"641","DET",0.0833333333333333,1975
"642","NYK",0.0833333333333333,1975
"643","LAL",0.0833333333333333,1974
"644","BLB",0.0833333333333333,1973
"645","GSW",0.0833333333333333,1972
"646","ATL",0.0833333333333333,1971
"647","SFW",0.0833333333333333,1971
"648","CHI",0.0833333333333333,1970
"649","PHI",0.0833333333333333,1970
"650","PHI",0.0833333333333333,1969
"651","CHI",0.0833333333333333,1968
"652","LAL",0.0714285714285714,1978
"653","CHI",0.0714285714285714,1977
"654","CLE",0.0714285714285714,1977
"655","DET",0.0714285714285714,1977
"656","ORL",0.0666666666666667,2002
"657","UTA",0.0666666666666667,2002
"658","IND",0.0666666666666667,2001
"659","MIN",0.0666666666666667,2001
"660","ORL",0.0666666666666667,2001
"661","PHO",0.0666666666666667,2001
"662","CHO",0.0666666666666667,2000
"663","MIN",0.0666666666666667,2000
"664","SAS",0.0666666666666667,2000
"665","HOU",0.0666666666666667,1999
"666","MIN",0.0666666666666667,1999
"667","ORL",0.0666666666666667,1999
"668","ATL",0.0666666666666667,1998
"669","CLE",0.0666666666666667,1998
"670","PHO",0.0666666666666667,1998
"671","POR",0.0666666666666667,1998
"672","POR",0.0666666666666667,1997
"673","LAL",0.0666666666666667,1996
"674","PHO",0.0666666666666667,1996
"675","SAC",0.0666666666666667,1996
"676","BOS",0.0666666666666667,1995
"677","CHO",0.0666666666666667,1995
"678","CLE",0.0666666666666667,1995
"679","SEA",0.0666666666666667,1995
"680","NJN",0.0666666666666667,1994
"681","POR",0.0666666666666667,1994
"682","SAS",0.0666666666666667,1994
"683","BOS",0.0666666666666667,1993
"684","IND",0.0666666666666667,1993
"685","POR",0.0666666666666667,1993
"686","GSW",0.0666666666666667,1992
"687","LAL",0.0666666666666667,1992
"688","NJN",0.0666666666666667,1992
"689","PHO",0.0666666666666667,1991
"690","SAS",0.0666666666666667,1991
"691","HOU",0.0666666666666667,1990
"692","MIL",0.0666666666666667,1990
"693","HOU",0.0666666666666667,1989
"694","HOU",0.0666666666666667,1988
"695","NYK",0.0666666666666667,1988
"696","POR",0.0666666666666667,1988
"697","DAL",0.0666666666666667,1987
"698","IND",0.0666666666666667,1987
"699","POR",0.0666666666666667,1987
"700","DET",0.0666666666666667,1986
"701","POR",0.0666666666666667,1986
"702","UTA",0.0666666666666667,1986
"703","CHI",0.0666666666666667,1985
"704","CLE",0.0666666666666667,1985
"705","DAL",0.0666666666666667,1985
"706","WSB",0.0666666666666667,1985
"707","WSB",0.0666666666666667,1984
"708","BRK",0.0625,2019
"709","OKC",0.0625,2019
"710","ORL",0.0625,2019
"711","UTA",0.0625,2019
"712","MIA",0.0625,2018
"713","MIN",0.0625,2018
"714","SAS",0.0625,2018
"715","OKC",0.0625,2017
"716","DAL",0.0625,2016
"717","HOU",0.0625,2016
"718","DAL",0.0625,2015
"719","POR",0.0625,2015
"720","CHI",0.0625,2014
"721","NYK",0.0625,2012
"722","ORL",0.0625,2012
"723","DEN",0.0625,2011
"724","IND",0.0625,2011
"725","PHI",0.0625,2011
"726","CHI",0.0625,2010
"727","MIA",0.0625,2010
"728","NOH",0.0625,2009
"729","SAS",0.0625,2009
"730","UTA",0.0625,2009
"731","DAL",0.0625,2008
"732","PHO",0.0625,2008
"733","TOR",0.0625,2008
"734","DEN",0.0625,2007
"735","LAL",0.0625,2007
"736","DEN",0.0625,2006
"737","MIL",0.0625,2006
"738","DEN",0.0625,2005
"739","PHI",0.0625,2005
"740","SAC",0.0625,2005
"741","DAL",0.0625,2004
"742","DEN",0.0625,2004
"743","HOU",0.0625,2004
"744","MIL",0.0625,2004
"745","UTA",0.0625,2003
